Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
S30,2017,8/3/17,Slimy,15.4,49.3,NA,4,F,2.3,1.3,NA,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S31,2017,8/3/17,Slimy,15.6,45.4,NA,4,F,1.9,1.3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S32,2017,8/6/17,Fourhorn,17.9,78.6,NA,5,M,4.2,0.1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S33,2017,8/6/17,Fourhorn,16,50.5,NA,5,M,1.5,NA,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S34,2017,8/9/17,Slimy,17,62.5,NA,4,M,3.1,1.7,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S37,2017,8/10/17,Slimy,14.5,34.2,NA,4,M,1,0.6,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S38,2017,8/12/17,Slimy,12.5,21.8,NA,3,M,0.7,NA,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
S39,2017,8/12/17,Slimy,15.2,39.8,NA,3,M,0.9,0.2,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
S4,2017,8/25/17,Slimy,15.8,55.5,NA,3,F,1.9,1.9,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S40,2017,8/12/17,Slimy,14.4,35.2,NA,3,F,0.8,0.7,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
S41,2017,8/12/17,Slimy,14.8,43,NA,4,F,1.3,0.9,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S42,2017,8/12/17,Slimy,12.9,27.7,NA,3,M,0.5,0.7,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S43,2017,8/13/17,Slimy,12,18.5,NA,4,M,0.3,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S44,2017,8/13/17,Slimy,9.8,11.9,NA,2,M,0.4,0.1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S46,2017,8/13/17,Slimy,11.2,20.6,NA,5,M,0.4,0.2,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S47,2017,8/13/17,Slimy,15.9,65.8,NA,5,F,2.7,1.7,NA,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S48,2017,8/13/17,Slimy,22.1,126.3,NA,2,F,2.3,2.2,NA,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
S49,2017,8/14/17,Slimy,17.5,68.5,NA,5,F,2.7,1.9,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,2017,8/25/17,Slimy,14.5,43.7,NA,4,M,1.1,0.4,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,2017,8/15/17,Slimy,17.4,78.7,NA,5,F,2.4,2,NA,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S59,2017,8/16/17,Slimy,14,37.7,NA,5,F,0.4,0.5,NA,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
S6,2017,8/25/17,Slimy,14.6,42,NA,2,F,1.3,0.9,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S62,2017,8/17/17,Slimy,12.9,30.2,NA,3,M,1.2,0.2,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S63,2017,8/18/17,Slimy,16.5,58.2,NA,5,M,0.8,0.1,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,2017,8/18/17,Slimy,13.5,31.4,NA,4,M,0.7,0.1,NA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S65,2017,8/18/17,Slimy,14,29.8,NA,5,M,0.6,1,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S66,2017,8/18/17,Slimy,14.4,35.9,NA,4,F,1.6,0.8,NA,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,2017,7/25/17,Slimy,12.2,23.8,NA,3,M,0.9,0.1,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S74,2017,8/21/17,Slimy,17.2,59.7,NA,2,M,1.1,1.6,NA,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
S84,2017,8/22/17,Slimy,15.5,52.8,NA,3,F,2.3,1.6,NA,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S85,2017,8/22/17,Slimy,16,50.5,NA,1,F,1.7,1.1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S86,2017,8/22/17,Slimy,21.5,107.3,NA,4,F,2.1,1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S87,2017,8/23/17,Slimy,19.9,116.3,NA,4,F,6.5,8,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S89,2017,8/27/17,Slimy,13.5,35,NA,5,M,0.8,0.5,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,2017,8/27/17,Slimy,14.5,43,NA,3,M,1.3,0.2,NA,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSM002,2018,7/31/18,Fourhorn,26.1,100,3.468,3,F,6.9,7.1,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SSM004,2018,7/31/18,Fourhorn,27.5,150,5.187,3,F,7.7,6.7,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
