"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"S1",2017,2017-07-24,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",14.2,42.4,"M",NA,5,1.4,0.5,NA
"S1",2017,2017-07-24,"amphipods","Amphipod",13,NA,"Slimy",14.2,42.4,"M",NA,5,1.4,0.5,NA
"S1",2017,2017-07-24,"onisimus/apherusa/eusirus","Amphipod",12,NA,"Slimy",14.2,42.4,"M",NA,5,1.4,0.5,NA
"S1",2017,2017-07-24,"krill","Krill",5,NA,"Slimy",14.2,42.4,"M",NA,5,1.4,0.5,NA
"S12",2017,2017-07-26,"gammarus/onisimus","Amphipod",20,NA,"Slimy",15.2,52.1,"M",NA,3,2,1.1,NA
"S12",2017,2017-07-26,"krill","Krill",2,NA,"Slimy",15.2,52.1,"M",NA,3,2,1.1,NA
"S12",2017,2017-07-26,"gammaracanthus sp.","Gammaracanthus sp.",3,NA,"Slimy",15.2,52.1,"M",NA,3,2,1.1,NA
"S13",2017,2017-07-26,"gammarus/onisimus","Amphipod",35,NA,"Slimy",16,59.2,"F",NA,4,2.7,1.9,NA
"S13",2017,2017-07-26,"krill","Krill",1,NA,"Slimy",16,59.2,"F",NA,4,2.7,1.9,NA
"S13",2017,2017-07-26,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",16,59.2,"F",NA,4,2.7,1.9,NA
"S2",2017,2017-07-24,"onisimus","Onisimus sp.",9,NA,"Slimy",13.2,33.3,"F",NA,4,1.4,0.5,NA
"S2",2017,2017-07-24,"gammarus","Gammarus sp.",31,NA,"Slimy",13.2,33.3,"F",NA,4,1.4,0.5,NA
"S2",2017,2017-07-24,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",13.2,33.3,"F",NA,4,1.4,0.5,NA
"S22",2017,2017-08-02,"gammarus/onisimus","Amphipod",3,NA,"Slimy",14,18.3,"F",NA,4,0.6,0.3,NA
"S22",2017,2017-08-02,"grit","Digested",NA,NA,"Slimy",14,18.3,"F",NA,4,0.6,0.3,NA
"S23",2017,2017-08-02,"krill","Krill",3,NA,"Slimy",11.4,6.7,"M",NA,3,0.3,NA,NA
"S23",2017,2017-08-02,"gammarus/onisimus","Amphipod",3,NA,"Slimy",11.4,6.7,"M",NA,3,0.3,NA,NA
"S23",2017,2017-08-02,"grit","Digested",NA,NA,"Slimy",11.4,6.7,"M",NA,3,0.3,NA,NA
"S24",2017,2017-08-03,"gammarus/onisimus","Amphipod",16,NA,"Slimy",17.7,69.7,"F",NA,3,3.5,2.3,NA
"S24",2017,2017-08-03,"many parasites in gut","Undigestible",NA,NA,"Slimy",17.7,69.7,"F",NA,3,3.5,2.3,NA
"S25",2017,2017-08-03,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",17.7,73.7,"F",NA,4,3.8,3.7,NA
"S25",2017,2017-08-03,"amphipods","Amphipod",11,NA,"Slimy",17.7,73.7,"F",NA,4,3.8,3.7,NA
"S26",2017,2017-08-03,"gammarus/onisimus","Amphipod",1,NA,"Slimy",16,59.7,"F",NA,1,3.3,1.9,NA
"S27",2017,2017-08-03,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",17.7,80,"F",NA,3,3.6,3.1,NA
"S27",2017,2017-08-03,"gammarus/onisimus","Amphipod",2,NA,"Slimy",17.7,80,"F",NA,3,3.6,3.1,NA
"S27",2017,2017-08-03,"digested","Digested",NA,NA,"Slimy",17.7,80,"F",NA,3,3.6,3.1,NA
"S28",2017,2017-08-03,"jelly fish","Fish",1,NA,"Slimy",18,73.4,"F",NA,3,3,3.8,NA
"S28",2017,2017-08-03,"amphipods","Amphipod",4,NA,"Slimy",18,73.4,"F",NA,3,3,3.8,NA
"S28",2017,2017-08-03,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",18,73.4,"F",NA,3,3,3.8,NA
"S28",2017,2017-08-03,"parasites in gut","Undigestible",NA,NA,"Slimy",18,73.4,"F",NA,3,3,3.8,NA
"S29",2017,2017-08-03,"amphipod","Amphipod",7,NA,"Slimy",17.6,72.2,"F",NA,4,3.5,2.2,NA
"S29",2017,2017-08-03,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Slimy",17.6,72.2,"F",NA,4,3.5,2.2,NA
"S29",2017,2017-08-03,"krill","Krill",3,NA,"Slimy",17.6,72.2,"F",NA,4,3.5,2.2,NA
"S29",2017,2017-08-03,"parasites in gut","Undigestible",NA,NA,"Slimy",17.6,72.2,"F",NA,4,3.5,2.2,NA
"S3",2017,2017-07-24,"onisimus","Onisimus sp.",3,NA,"Slimy",4.2,0.8,"I",NA,3,NA,NA,NA
"S30",2017,2017-08-03,"krill","Krill",5,NA,"Slimy",15.4,49.3,"F",NA,4,2.3,1.3,NA
"S30",2017,2017-08-03,"grit","Digested",NA,NA,"Slimy",15.4,49.3,"F",NA,4,2.3,1.3,NA
"S30",2017,2017-08-03,"gammarus/onisimus","Amphipod",5,NA,"Slimy",15.4,49.3,"F",NA,4,2.3,1.3,NA
"S31",2017,2017-08-03,"gammarus/onisimus","Amphipod",3,NA,"Slimy",15.6,45.4,"F",NA,4,1.9,1.3,NA
"S31",2017,2017-08-03,"giant chironomid","Chironomid",3,NA,"Slimy",15.6,45.4,"F",NA,4,1.9,1.3,NA
"S32",2017,2017-08-06,"krill","Krill",10,NA,"Fourhorn",17.9,78.6,"M",NA,5,4.2,0.1,NA
"S32",2017,2017-08-06,"amphipods","Amphipod",20,NA,"Fourhorn",17.9,78.6,"M",NA,5,4.2,0.1,NA
"S32",2017,2017-08-06,"gammaracanthus sp.","Gammaracanthus sp.",1,NA,"Fourhorn",17.9,78.6,"M",NA,5,4.2,0.1,NA
"S32",2017,2017-08-06,"onisimus or eusirus","Amphipod",10,NA,"Fourhorn",17.9,78.6,"M",NA,5,4.2,0.1,NA
"S33",2017,2017-08-06,"copepods","Copepod",10,NA,"Fourhorn",16,50.5,"M",NA,5,1.5,NA,NA
"S33",2017,2017-08-06,"krill","Krill",10,NA,"Fourhorn",16,50.5,"M",NA,5,1.5,NA,NA
"S33",2017,2017-08-06,"onisimus or eusirus","Amphipod",15,NA,"Fourhorn",16,50.5,"M",NA,5,1.5,NA,NA
"S33",2017,2017-08-06,"gammarus","Gammarus sp.",15,NA,"Fourhorn",16,50.5,"M",NA,5,1.5,NA,NA
